code,description,measure,name,frequency,unit,adjustment,source
A130390117F,Percentage Change from Previous Period ;  All groups CPI excluding Housing ;  Australia ;,Percentage Change from Previous Period,All groups CPI excluding Housing,Month,Percent,Original,640106.xlsx
A130398864F,"Percentage Change from Previous Period ;  All groups CPI excluding Furnishings, household equipment and services ;  Australia ;",Percentage Change from Previous Period,"All groups CPI excluding Furnishings, household equipment and services",Month,Percent,Original,640106.xlsx
A130394037C,Percentage Change from Previous Period ;  All groups CPI excluding Health ;  Australia ;,Percentage Change from Previous Period,All groups CPI excluding Health,Month,Percent,Original,640106.xlsx
A130398892R,Percentage Change from Previous Period ;  All groups CPI excluding Transport ;  Australia ;,Percentage Change from Previous Period,All groups CPI excluding Transport,Month,Percent,Original,640106.xlsx
A130392721L,Percentage Change from Previous Period ;  All groups CPI excluding Communication ;  Australia ;,Percentage Change from Previous Period,All groups CPI excluding Communication,Month,Percent,Original,640106.xlsx
A130395262T,Percentage Change from Previous Period ;  All groups CPI excluding Recreation and culture ;  Australia ;,Percentage Change from Previous Period,All groups CPI excluding Recreation and culture,Month,Percent,Original,640106.xlsx
A130398920L,Percentage Change from Previous Period ;  All groups CPI excluding Education ;  Australia ;,Percentage Change from Previous Period,All groups CPI excluding Education,Month,Percent,Original,640106.xlsx
A130394079A,Percentage Change from Previous Period ;  All groups CPI excluding Insurance and financial services ;  Australia ;,Percentage Change from Previous Period,All groups CPI excluding Insurance and financial services,Month,Percent,Original,640106.xlsx
A130390194K,Percentage Change from Previous Period ;  All groups CPI excluding Housing and Insurance and financial services ;  Australia ;,Percentage Change from Previous Period,All groups CPI excluding Housing and Insurance and financial services,Month,Percent,Original,640106.xlsx
A130390166A,Percentage Change from Previous Period ;  All groups CPI excluding Medical and hospital services ;  Australia ;,Percentage Change from Previous Period,All groups CPI excluding Medical and hospital services,Month,Percent,Original,640106.xlsx
A130391636A,Percentage Change from Previous Period ;  All groups CPI excluding food and energy ;  Australia ;,Percentage Change from Previous Period,All groups CPI excluding food and energy,Month,Percent,Original,640106.xlsx
A130389935K,Percentage Change from Previous Period ;  All groups CPI excluding 'volatile items' ;  Australia ;,Percentage Change from Previous Period,All groups CPI excluding 'volatile items',Month,Percent,Original,640106.xlsx
A130392952W,Percentage Change from Previous Period ;  Non-Discretionary ;  Australia ;,Percentage Change from Previous Period,Non-Discretionary,Month,Percent,Original,640106.xlsx
A130392931K,Percentage Change from Previous Period ;  Discretionary ;  Australia ;,Percentage Change from Previous Period,Discretionary,Month,Percent,Original,640106.xlsx
A130394268L,Percentage Change from Previous Period ;  Discretionary excluding tobacco ;  Australia ;,Percentage Change from Previous Period,Discretionary excluding tobacco,Month,Percent,Original,640106.xlsx
A130393723K,Contribution to All groups CPI Index Number ;  All groups CPI ;  Australia ;,Contribution to All groups CPI Index Number,All groups CPI,Month,Index Points,Original,640106.xlsx
A130392365C,Contribution to All groups CPI Index Number ;  Tradables ;  Australia ;,Contribution to All groups CPI Index Number,Tradables,Month,Index Points,Original,640106.xlsx
A130395032K,Contribution to All groups CPI Index Number ;  Non-tradables ;  Australia ;,Contribution to All groups CPI Index Number,Non-tradables,Month,Index Points,Original,640106.xlsx
A130397427R,"Contribution to All groups CPI Index Number ;  All groups, goods component ;  Australia ;",Contribution to All groups CPI Index Number,"All groups, goods component",Month,Index Points,Original,640106.xlsx
A130396117R,"Contribution to All groups CPI Index Number ;  All groups, services component ;  Australia ;",Contribution to All groups CPI Index Number,"All groups, services component",Month,Index Points,Original,640106.xlsx
A130395060V,Contribution to All groups CPI Index Number ;  Market goods and services excluding 'volatile items' - Goods ;  Australia ;,Contribution to All groups CPI Index Number,Market goods and services excluding 'volatile items' - Goods,Month,Index Points,Original,640106.xlsx
A130396145X,Contribution to All groups CPI Index Number ;  Market goods and services excluding 'volatile items' - Total ;  Australia ;,Contribution to All groups CPI Index Number,Market goods and services excluding 'volatile items' - Total,Month,Index Points,Original,640106.xlsx
A130392407R,Contribution to All groups CPI Index Number ;  Market goods and services excluding 'volatile items' - Services ;  Australia ;,Contribution to All groups CPI Index Number,Market goods and services excluding 'volatile items' - Services,Month,Index Points,Original,640106.xlsx
